source,target,capacity
0,31,16
0,35,6
0,68,54
0,82,15
0,119,17
0,125,69
0,131,59
0,138,63
0,140,1
0,163,40
0,169,65
0,177,22
1,87,22
1,95,15
1,96,68
1,105,6
2,34,47
2,40,29
2,85,52
2,121,54
2,130,27
2,145,7
2,187,69
3,17,64
3,30,67
3,79,57
3,110,24
3,170,60
3,171,38
3,189,10
4,17,70
4,37,32
4,48,37
4,52,16
4,126,60
4,150,45
4,195,13
5,47,36
5,93,60
5,101,65
5,108,15
5,133,19
6,0,23
6,31,27
6,53,63
6,54,25
6,72,69
6,75,10
6,106,24
6,113,25
6,125,18
6,134,61
6,163,61
6,169,46
7,11,12
7,40,67
7,55,28
7,103,33
7,145,13
8,0,7
8,6,7
8,54,64
8,80,42
8,82,47
8,88,11
8,104,47
8,109,1
8,154,59
8,165,51
8,175,28
8,180,53
9,13,62
9,59,51
9,72,20
9,75,66
9,80,53
9,91,46
9,103,13
9,108,22
9,141,31
9,163,26
9,167,36
9,193,67
10,5,46
10,7,11
10,98,35
10,101,47
10,108,22
10,141,70
11,2,45
11,27,3
11,34,41
11,50,47
11,89,41
12,5,24
12,9,34
12,13,52
12,29,7
12,70,69
12,75,11
12,108,54
12,197,22
13,19,58
13,67,19
13,68,13
13,72,38
13,91,42
13,114,28
13,141,64
13,176,20
14,6,58
14,9,43
14,13,41
14,33,66
14,67,21
14,91,63
14,111,32
14,122,34
14,143,26
14,146,42
14,156,29
14,160,14
14,163,61
14,181,49
15,0,65
15,6,4
15,8,26
15,14,19
15,53,34
15,80,63
15,82,36
15,88,26
15,138,60
15,143,67
15,154,64
15,157,55
15,163,28
15,197,34
16,61,56
16,82,11
16,92,27
16,124,28
16,128,9
16,135,29
16,148,39
16,157,69
16,166,24
16,169,66
17,25,61
17,30,9
17,52,9
17,110,7
17,147,45
17,150,38
17,162,27
17,182,27
17,188,6
18,7,54
18,10,65
18,11,51
18,47,49
18,62,8
18,101,61
18,108,42
18,140,4
18,141,4
18,176,60
18,199,36
19,5,50
19,9,3
19,10,64
19,12,2
19,18,35
19,70,53
19,98,3
19,133,39
19,174,5
19,175,22
19,197,9
20,2,3
20,11,70
20,18,61
20,53,55
20,64,29
20,89,59
20,90,56
20,103,67
20,106,13
20,115,55
20,129,33
20,166,44
20,191,9
21,0,16
21,6,31
21,8,28
21,15,65
21,53,36
21,59,27
21,92,46
21,109,63
21,125,39
21,142,54
21,154,14
21,157,60
21,158,7
21,169,23
21,180,41
22,0,22
22,2,16
22,6,6
22,20,70
22,21,51
22,48,21
22,52,47
22,53,11
22,73,48
22,89,1
22,102,18
22,104,14
22,106,12
22,117,32
22,125,7
22,151,39
22,169,31
22,172,19
22,178,5
22,195,2
23,5,43
23,9,6
23,12,42
23,13,4
23,14,37
23,18,67
23,19,50
23,36,15
23,68,69
23,103,12
23,111,3
23,133,14
23,138,68
23,167,60
23,174,49
24,82,15
24,99,5
24,144,1
24,173,69
24,181,2
24,194,24
25,4,67
25,52,16
25,73,3
25,187,52
26,1,47
26,76,1
26,95,51
26,105,23
26,146,17
26,192,27
27,2,2
27,7,11
27,18,44
27,20,35
27,40,28
27,66,36
27,86,43
27,115,54
27,145,42
28,5,23
28,10,16
28,12,18
28,123,35
28,174,68
28,196,49
29,0,67
29,6,18
29,9,56
29,13,5
29,14,7
29,15,34
29,18,24
29,19,51
29,23,24
29,53,42
29,103,61
29,118,20
29,133,40
29,143,31
29,167,64
30,16,51
30,44,34
30,71,45
30,100,31
30,112,25
30,135,20
30,185,26
31,2,38
31,11,52
31,18,58
31,20,56
31,21,32
31,22,2
31,27,47
31,62,52
31,66,11
31,103,23
31,113,37
31,132,7
31,191,36
32,5,19
32,7,21
32,10,38
32,11,66
32,18,28
32,27,4
32,55,31
32,78,21
32,90,59
32,199,54
33,26,23
33,59,70
33,83,18
33,94,3
33,96,66
33,143,19
34,20,32
34,22,40
34,27,12
34,31,42
34,40,37
34,48,41
34,63,25
34,97,65
34,115,40
34,131,3
34,179,9
34,187,48
35,6,32
35,8,21
35,14,25
35,15,32
35,21,58
35,24,20
35,33,35
35,54,14
35,68,15
35,72,44
35,88,12
35,94,63
35,118,15
35,180,27
35,184,27
35,186,31
36,9,29
36,12,42
36,13,39
36,19,35
36,28,26
36,29,53
36,80,34
36,91,41
36,156,57
36,197,3
37,2,32
37,25,33
37,34,45
37,39,8
37,63,17
37,120,36
37,121,15
37,178,39
37,195,6
38,2,34
38,37,45
38,62,6
38,66,66
38,78,4
38,97,21
38,107,59
38,130,18
39,4,22
39,38,13
39,60,47
39,126,7
39,150,40
39,172,22
39,183,6
40,11,68
40,18,5
40,20,51
40,31,42
40,32,69
40,50,34
40,66,22
40,103,61
40,108,66
40,140,20
40,191,56
41,24,6
41,81,54
41,95,68
41,165,15
41,181,35
42,8,29
42,24,27
42,35,46
42,41,20
42,54,22
42,76,40
42,82,21
42,96,44
42,149,17
42,186,11
42,192,14
43,9,56
43,12,22
43,13,40
43,14,45
43,19,27
43,23,65
43,29,37
43,36,17
43,67,63
43,70,41
43,111,15
43,114,60
43,137,39
43,143,37
43,160,10
44,3,12
44,79,9
44,112,31
44,128,4
44,162,51
44,171,44
44,189,70
45,3,29
45,16,62
45,17,39
45,25,2
45,30,62
45,46,15
45,56,26
45,79,9
45,110,56
45,152,22
45,162,50
45,182,50
45,185,13
46,0,55
46,16,49
46,20,48
46,21,2
46,22,34
46,31,52
46,52,33
46,64,17
46,77,41
46,82,54
46,109,15
46,127,2
46,136,24
46,158,32
46,168,50
46,178,67
46,179,43
46,187,10
46,195,43
47,10,26
47,12,70
47,19,54
47,23,60
47,28,65
47,36,63
47,74,1
47,93,40
47,101,28
47,123,48
47,133,53
48,2,40
48,25,1
48,37,25
48,38,27
48,39,12
48,52,1
48,66,30
48,73,38
48,121,48
48,178,6
48,195,54
49,37,36
49,38,36
49,39,70
