source,target,capacity
0,
1,
2,29,21
3,64,26
4,82,46
4,99,5
5,28,28
6,1,42
7,18,29
7,22,28
8,
9,8,46
9,31,34
10,
11,76,36
12,
13,
14,61,42
15,
16,
17,12,30
18,
19,48,36
20,8,2
20,26,18
20,55,50
21,11,27
21,39,22
21,44,3
21,94,10
22,91,25
23,6,10
23,11,2
24,
25,41,37
26,9,19
26,86,39
27,88,31
28,30,2
29,67,44
30,5,5
31,8,34
31,20,47
31,26,16
32,
33,92,19
34,
35,82,15
36,21,21
37,0,3
37,8,19
37,9,30
37,31,33
37,95,48
38,24,27
39,11,12
39,23,39
39,94,17
40,1,24
40,46,20
41,
42,
43,
44,36,40
45,
46,1,25
46,11,35
46,23,21
46,39,38
47,10,21
48,
49,
50,49,7
51,34,48
52,24,49
52,32,37
52,68,30
53,32,40
53,69,7
54,25,4
55,26,38
56,49,49
57,
58,3,36
58,48,39
58,87,15
59,0,38
59,16,6
60,0,6
60,37,44
60,42,29
61,
62,
63,1,22
63,40,10
63,46,20
64,38,43
65,22,45
65,45,29
66,74,44
66,79,18
67,2,46
68,32,1
69,
70,3,50
70,58,42
70,87,16
70,89,29
71,52,11
71,68,30
72,65,4
73,
74,21,20
74,36,34
74,44,29
75,34,13
75,51,29
75,84,19
76,39,19
76,46,37
76,66,49
76,94,50
77,49,37
78,
79,74,24
80,33,38
81,32,37
81,57,40
82,
83,
84,
85,12,41
85,17,41
85,60,9
86,
87,48,42
88,13,48
89,3,29
89,64,39
89,79,23
90,15,26
90,53,6
91,7,21
91,18,35
92,80,26
93,1,20
93,40,34
93,46,43
93,63,24
94,11,6
94,46,46
95,17,3
95,85,15
96,34,27
96,51,2
96,75,19
96,84,8
97,3,5
97,57,39
97,58,37
97,81,37
98,5,8
98,72,3
99,84,34
