source,target,capacity
0,9,1
0,17,16
0,28,12
0,29,23
1,12,2
1,21,6
1,24,17
1,27,8
1,29,7
2,1,7
2,27,1
3,0,8
3,10,21
3,16,14
3,28,23
4,1,14
4,2,19
4,15,2
5,3,13
5,9,11
5,10,23
5,19,22
5,25,6
6,0,4
6,1,4
6,10,3
6,18,18
6,22,6
6,24,13
6,25,10
6,29,13
7,0,17
7,3,3
7,6,8
8,0,20
8,3,16
8,5,17
8,16,14
8,19,10
8,25,17
9,1,9
9,2,16
9,3,8
9,6,8
9,8,24
9,10,13
9,20,12
9,25,14
9,27,12
10,0,1
10,7,20
10,8,7
10,29,7
11,6,21
11,21,21
11,22,15
12,2,24
12,4,24
13,6,3
13,11,23
14,1,7
14,2,4
14,4,21
14,9,4
14,12,23
14,21,4
15,2,11
15,12,8
15,14,19
16,0,12
16,5,16
16,9,2
16,10,3
17,6,25
17,7,25
17,11,7
17,13,14
17,18,15
17,21,11
17,29,12
18,0,23
18,7,20
18,10,2
18,11,10
18,13,19
19,3,1
19,16,14
20,1,11
20,2,8
20,4,17
20,6,19
20,12,23
20,13,7
20,14,2
20,24,8
20,28,23
21,0,9
21,2,2
21,6,2
21,9,9
21,10,17
21,13,1
21,18,20
21,20,24
21,22,24
21,29,21
22,1,16
22,2,14
22,13,9
22,14,15
22,20,22
22,27,15
23,0,22
23,3,12
23,5,25
23,7,5
23,8,7
23,9,15
23,10,22
23,16,24
23,18,5
23,19,12
23,25,23
24,0,25
24,2,21
24,4,23
24,9,14
24,10,6
24,12,17
24,14,2
24,16,4
24,21,11
24,25,14
24,28,23
25,0,5
25,1,23
25,3,15
25,7,16
25,10,2
25,16,17
25,18,22
25,21,17
25,28,23
25,29,9
26,7,4
26,11,6
26,17,18
26,18,6
27,0,5
27,6,9
27,10,9
27,11,6
27,13,16
27,14,1
27,17,11
27,18,7
27,20,22
27,21,21
27,24,23
27,25,25
27,29,20
28,1,23
28,6,1
28,7,14
28,9,2
28,10,14
28,11,20
28,13,23
28,17,23
28,18,8
28,21,14
28,22,2
28,23,3
28,27,24
29,2,9
29,7,1
29,9,4
29,11,21
29,13,20
29,14,12
29,18,14
29,20,12
29,22,2
29,23,24
29,24,19
29,28,22
