source,target,capacity
0,
1,68,33
1,92,3
2,1,35
2,12,24
2,53,58
3,11,25
3,21,1
3,61,24
3,64,13
3,71,4
3,75,10
3,83,25
4,3,36
4,21,49
4,30,22
4,93,33
5,54,27
5,69,14
6,25,22
6,76,6
7,5,38
7,9,2
7,14,54
7,15,18
7,22,6
7,73,39
8,5,59
8,7,41
8,42,29
8,56,48
8,80,21
9,5,1
9,8,2
9,37,67
9,43,65
9,74,2
10,38,63
10,63,22
10,67,15
10,72,42
10,82,52
10,89,69
11,5,53
11,7,13
11,9,33
11,14,63
11,46,6
11,54,49
11,71,16
11,80,53
12,4,54
12,32,6
12,57,21
13,0,7
13,98,68
14,5,4
14,26,43
14,46,17
14,49,21
14,54,58
14,79,37
14,88,38
15,5,41
15,6,43
15,8,57
15,24,50
15,25,16
15,46,15
16,2,1
16,12,12
16,58,23
16,62,33
17,0,7
17,13,56
17,33,19
17,48,9
17,70,62
17,77,44
18,10,70
18,29,17
18,39,15
18,60,51
18,91,25
18,97,9
19,1,32
19,3,13
19,64,7
19,89,60
20,7,11
20,11,30
20,14,51
20,27,59
20,35,56
20,77,2
20,94,39
21,11,59
21,20,59
21,75,50
21,86,27
22,5,69
22,6,36
22,8,21
22,15,65
22,52,22
22,54,9
22,74,13
22,76,46
23,3,62
23,4,11
23,11,3
23,21,37
23,30,42
23,32,58
23,43,16
23,71,59
23,83,16
24,8,20
24,22,5
24,31,54
24,45,21
25,5,30
25,7,7
25,8,21
25,9,33
25,22,61
25,24,52
25,52,67
25,76,10
26,11,12
26,17,10
26,20,47
26,27,58
26,49,27
26,86,47
26,88,54
26,94,20
27,11,1
27,14,3
27,17,40
27,30,19
27,35,33
27,49,37
27,77,26
27,86,21
28,10,66
28,18,32
28,39,38
28,91,47
29,10,4
29,40,34
29,60,12
29,67,41
30,3,50
30,11,18
30,20,42
30,21,53
31,5,11
31,8,53
31,15,39
31,22,49
31,25,10
31,42,7
31,65,64
32,3,28
32,4,42
32,21,3
32,30,61
32,33,68
32,93,20
33,50,43
33,55,18
33,57,10
33,70,4
34,3,15
34,4,62
34,21,7
34,23,31
34,30,56
34,32,65
34,33,24
34,43,48
34,50,61
34,57,37
35,11,49
35,14,15
35,26,12
35,41,65
35,80,54
36,28,25
37,1,34
37,3,40
