source,target,capacity
0,95,2
0,136,1
1,9,2
1,88,1
1,152,2
1,192,1
2,6,1
3,19,1
3,21,1
3,43,2
3,161,2
4,61,1
5,94,2
6,123,1
7,47,1
7,56,1
7,67,1
7,72,1
7,114,1
7,138,1
8,3,2
8,29,2
9,40,2
9,98,1
10,171,2
11,3,1
11,49,2
11,91,2
11,161,2
12,0,1
12,51,2
12,62,1
12,87,1
12,95,1
12,135,2
12,159,2
13,1,1
13,2,1
13,6,2
13,182,1
13,192,2
13,198,1
14,45,1
14,80,1
15,22,2
15,25,2
15,66,2
15,69,2
16,107,2
16,137,1
16,190,1
17,10,2
17,35,2
17,99,1
17,157,1
18,57,2
18,162,1
19,8,2
19,43,2
20,
21,11,1
21,19,1
21,22,1
21,195,1
22,3,2
22,19,2
22,85,2
22,112,2
23,5,2
23,173,1
24,15,2
24,110,2
25,24,2
25,69,1
25,75,2
25,126,2
25,132,1
26,1,1
26,2,2
26,6,1
26,13,2
26,44,1
26,76,1
26,153,2
26,170,1
26,182,2
27,18,2
27,46,1
28,1,1
28,11,1
28,13,2
28,26,1
28,76,1
28,91,2
28,117,2
28,153,1
28,161,1
28,170,2
28,182,1
28,192,1
29,3,2
29,11,2
29,19,2
29,21,1
29,127,1
30,16,1
30,36,2
30,107,1
30,193,1
31,115,1
31,125,2
31,172,1
32,15,2
32,22,2
32,25,1
32,156,2
32,183,2
33,31,1
33,104,1
33,160,2
33,194,2
34,12,1
34,59,2
34,108,2
34,121,1
35,10,2
35,55,1
36,16,1
36,50,1
36,101,1
37,1,1
37,9,1
37,117,1
38,35,1
38,41,2
39,7,1
39,54,2
39,103,2
39,138,2
39,160,1
40,1,2
40,37,2
40,88,2
40,122,2
41,151,1
42,173,1
43,8,1
43,21,1
43,22,1
43,29,1
43,85,2
44,2,1
44,6,2
44,13,2
44,123,2
45,33,1
45,97,2
45,199,2
46,0,1
46,18,2
46,57,2
46,62,1
46,96,1
47,72,1
47,109,2
47,128,1
48,38,2
48,41,2
48,151,2
49,28,2
50,16,1
50,101,1
50,137,2
50,167,1
50,193,2
51,0,2
51,20,1
51,79,2
51,87,1
51,136,1
52,17,2
52,63,2
52,118,1
52,127,2
52,146,2
53,33,1
53,36,2
