source,target,capacity
0,
1,
2,3,2
3,
4,
5,27,1
5,33,1
5,67,2
6,0,2
6,33,2
6,36,2
6,54,2
6,66,1
7,
8,19,2
8,21,2
8,43,2
8,61,2
8,77,1
9,1,1
10,8,1
11,42,2
11,88,1
12,40,2
13,
14,13,2
14,16,1
14,18,2
14,20,1
15,14,1
15,16,2
16,
17,0,1
17,6,1
18,15,2
18,16,1
18,29,2
18,62,2
19,
20,13,1
20,18,1
20,29,2
21,34,2
22,32,2
22,35,1
22,78,1
23,56,1
23,99,2
24,0,1
24,6,1
24,17,2
24,52,2
25,72,1
25,95,2
26,25,2
26,73,1
27,0,2
27,6,1
27,17,1
27,24,2
27,67,2
28,13,2
28,14,2
28,15,1
28,16,2
28,18,1
29,13,1
29,14,1
29,34,2
29,60,2
30,7,1
30,93,1
31,59,2
31,68,2
31,96,1
32,42,2
33,0,1
33,17,1
33,24,2
33,27,1
33,66,1
34,12,2
34,20,2
34,39,1
35,1,2
35,9,2
35,32,2
35,58,2
35,87,1
36,8,2
36,44,2
37,14,1
37,15,1
37,18,2
37,19,1
37,20,2
37,55,1
38,
39,8,2
39,21,1
39,36,2
39,63,1
40,34,1
40,39,1
41,2,2
41,3,2
41,4,2
42,1,1
42,35,1
43,10,1
44,8,1
44,21,2
44,39,2
44,40,1
45,14,2
45,15,1
45,16,2
45,18,2
45,28,2
46,25,1
46,26,2
47,
48,8,1
48,19,2
48,21,1
48,39,2
48,61,2
49,22,2
49,32,2
49,71,1
49,87,2
50,7,2
50,30,2
51,1,1
51,9,2
51,26,2
51,46,1
52,5,1
52,17,1
52,27,1
52,33,2
53,38,2
54,31,1
54,59,2
54,68,2
55,19,1
55,48,1
56,26,2
56,46,2
56,51,2
56,98,2
57,12,1
57,40,1
58,1,1
58,9,2
59,6,1
59,68,1
59,83,2
59,94,1
59,96,2
60,18,2
60,19,1
60,20,1
60,21,2
60,34,1
60,37,2
60,48,2
61,19,2
61,55,1
61,74,2
62,13,2
62,14,2
62,20,1
62,29,2
63,8,2
63,21,2
63,34,2
63,44,1
63,48,1
63,60,1
64,15,2
64,16,1
64,45,2
65,38,2
65,53,1
65,69,2
66,0,1
66,17,1
66,24,1
66,27,2
66,68,2
66,97,2
67,0,2
67,6,1
67,17,2
67,24,1
67,33,2
67,52,1
68,6,2
68,97,2
69,38,2
69,53,1
70,22,1
70,32,2
70,35,2
70,42,2
70,49,1
71,11,1
71,32,1
71,42,1
71,70,1
72,26,1
72,46,2
72,51,2
72,56,1
72,95,1
73,25,2
73,46,1
73,72,1
74,19,2
74,48,1
74,55,1
75,7,2
75,30,1
75,50,1
76,0,1
76,66,1
76,68,1
76,89,2
77,6,2
77,36,1
77,39,1
77,44,1
78,49,1
78,64,2
79,19,2
79,48,1
79,55,2
79,58,1
79,61,2
79,74,1
80,2,2
80,31,1
80,59,1
80,68,1
80,89,1
81,23,2
82,47,1
82,91,2
82,95,2
83,10,1
83,31,1
83,43,1
83,54,1
84,10,1
84,31,2
84,43,2
84,54,2
84,59,1
84,83,1
84,94,2
85,
86,2,2
86,3,2
86,41,2
86,80,1
86,90,2
87,22,2
87,32,1
87,42,2
87,58,1
87,70,2
88,1,2
88,9,1
88,32,2
88,35,2
88,42,2
88,70,1
88,71,2
88,87,2
89,2,1
89,31,1
89,59,2
89,68,2
89,86,1
90,2,2
90,3,1
90,89,1
91,46,1
91,47,2
91,95,1
92,1,2
92,9,1
92,35,1
92,58,2
92,79,2
92,87,1
93,7,2
93,50,1
93,52,1
93,75,2
94,6,1
94,36,1
94,44,1
94,54,1
94,68,1
94,77,1
94,83,1
95,46,2
95,47,2
96,2,2
96,54,2
96,68,1
96,80,2
96,89,1
97,0,1
97,76,2
97,89,1
98,26,2
98,85,2
99,81,1
