source,target,capacity
0,52,37
1,4,12
1,132,44
1,163,19
2,169,9
3,25,49
3,63,35
3,75,13
3,113,38
3,131,13
4,163,31
4,196,18
5,36,25
5,91,3
6,19,11
6,43,43
6,45,37
6,50,47
6,82,36
6,102,7
6,109,38
7,27,18
7,58,5
7,109,22
7,182,29
8,3,7
8,14,40
8,86,26
8,175,11
9,5,2
9,8,10
9,23,13
9,75,1
9,86,38
9,114,2
9,175,31
10,138,32
10,148,8
10,149,8
10,171,36
10,172,47
11,180,24
12,22,43
12,145,16
12,179,44
13,22,4
13,69,1
13,74,35
13,109,8
13,136,10
13,145,11
14,9,34
14,23,21
14,75,31
14,86,16
14,101,33
14,152,33
14,193,7
15,4,47
15,95,23
15,105,18
16,46,44
16,129,29
16,187,40
16,198,42
17,124,25
18,15,2
18,24,21
18,116,38
18,150,15
19,1,41
19,43,19
19,45,8
19,50,3
19,88,36
19,168,38
19,178,36
20,7,34
20,13,12
20,69,4
20,87,8
20,104,34
20,162,25
21,7,49
21,27,13
21,128,15
21,165,15
22,42,33
22,117,38
22,172,11
23,3,16
23,8,34
23,41,21
23,76,35
23,92,16
24,
25,23,11
25,41,42
25,175,47
26,11,20
26,180,14
27,87,49
27,122,36
27,134,1
28,
29,17,32
29,53,8
30,51,23
30,97,10
30,129,25
30,137,19
31,14,16
31,33,6
31,87,44
31,98,12
31,104,32
32,38,40
32,66,7
32,112,24
32,120,43
33,14,16
33,86,8
33,98,14
33,152,46
33,177,5
34,12,4
34,37,10
34,62,16
34,139,30
34,177,25
35,28,25
35,126,39
36,9,9
36,14,38
36,33,46
36,152,18
36,158,17
37,12,43
37,13,1
37,22,43
37,140,26
37,171,17
38,7,13
38,21,4
38,27,24
38,58,21
38,192,4
39,4,17
39,15,27
39,150,6
40,14,25
40,27,42
40,31,43
40,33,21
40,87,26
40,166,3
40,199,2
41,5,29
41,9,2
41,36,10
41,54,43
41,86,46
41,123,37
42,12,28
42,13,26
42,20,13
42,37,33
42,136,15
42,145,22
43,102,45
43,127,33
44,13,25
44,31,29
44,33,41
44,34,43
44,37,3
44,42,32
44,77,41
44,90,8
44,98,25
44,179,30
45,43,31
45,82,23
45,162,27
46,4,27
46,144,41
46,198,8
47,48,39
48,11,23
48,72,25
49,12,19
49,13,42
49,20,44
49,22,47
49,37,9
49,42,9
49,44,31
49,74,20
49,104,31
50,1,30
50,45,1
50,88,11
50,89,16
50,121,26
50,125,24
50,178,1
51,1,27
51,97,9
51,178,4
52,1,20
52,51,33
52,93,6
52,137,38
52,146,4
52,170,8
52,174,48
52,178,44
53,36,25
53,57,29
53,158,44
53,159,16
54,25,4
54,114,21
55,39,32
55,50,1
55,103,30
55,130,3
56,1,23
56,6,49
56,19,6
56,45,25
56,50,3
56,55,22
56,68,35
56,163,5
57,33,49
57,34,4
57,36,18
57,159,3
58,21,19
58,27,15
58,32,5
59,
60,6,24
60,19,40
60,43,17
60,45,2
60,56,22
60,168,43
61,32,19
62,12,14
62,22,44
62,37,41
62,67,18
62,145,10
62,167,39
62,172,16
63,8,39
63,175,42
63,188,32
64,4,21
64,15,44
64,18,4
64,39,33
64,196,15
65,1,24
65,4,32
65,16,44
65,46,49
65,64,15
65,181,19
66,11,6
66,48,23
67,10,19
67,12,36
67,22,11
67,37,20
67,96,17
67,117,43
67,167,17
67,171,40
67,172,46
68,1,10
68,4,18
68,19,29
68,50,18
68,55,9
68,65,17
68,181,2
68,196,20
69,6,32
69,42,5
69,49,7
70,12,42
70,29,3
70,34,36
70,37,3
70,57,42
70,62,30
70,67,33
70,117,47
70,184,45
71,0,39
71,30,1
71,51,26
71,52,26
71,118,29
71,137,1
72,47,25
72,99,4
73,17,38
73,29,41
73,53,23
73,151,47
74,20,23
74,22,29
74,42,29
74,44,39
74,55,26
74,69,27
74,136,42
75,8,46
75,23,49
75,63,20
75,175,27
76,3,7
76,25,46
76,41,36
76,54,50
76,113,18
76,131,38
77,9,41
77,14,6
77,31,41
77,33,24
77,36,25
77,40,22
77,57,32
77,90,11
77,104,14
77,139,34
77,155,40
77,199,43
78,10,18
78,12,22
78,62,35
78,67,48
78,167,6
78,171,6
79,35,21
79,59,49
80,6,20
80,19,2
80,20,50
80,43,5
80,45,41
80,50,7
80,56,16
80,69,4
80,74,31
80,89,37
80,109,24
81,0,22
81,71,39
81,174,7
82,19,37
82,43,16
82,56,29
82,60,15
82,80,32
82,102,4
83,28,7
83,35,12
83,59,16
83,79,4
84,59,31
84,141,48
84,147,39
85,3,38
85,8,21
85,23,27
85,63,24
85,75,19
85,76,2
85,153,25
86,23,4
86,36,47
86,75,18
86,77,21
87,7,35
87,44,15
87,69,26
87,109,32
87,154,46
87,162,12
88,1,3
88,4,34
88,55,48
88,56,20
88,65,6
88,68,34
88,163,23
89,6,11
89,7,21
89,19,34
89,20,7
89,43,43
89,45,25
89,69,34
89,74,36
89,109,23
89,182,1
90,13,17
90,31,37
90,33,4
90,34,9
90,42,23
90,49,40
90,87,46
90,98,36
90,104,24
90,179,47
91,8,19
91,9,18
91,14,47
91,23,12
91,36,47
91,41,3
91,75,41
91,77,46
91,86,32
91,113,37
91,114,25
91,193,13
92,5,20
92,8,49
92,9,45
92,14,26
92,25,50
92,36,5
92,41,37
92,75,22
92,76,24
92,86,18
92,91,40
92,113,16
92,143,43
92,153,3
93,0,10
93,19,12
93,43,41
93,45,42
93,56,9
93,60,32
93,82,36
93,127,28
94,0,30
94,30,18
94,51,43
94,52,18
94,71,29
94,137,2
95,18,2
95,24,47
95,64,18
95,150,10
96,10,16
96,22,18
96,78,31
96,135,25
96,140,34
96,183,33
97,52,34
97,71,13
97,94,38
97,137,25
97,174,24
98,14,29
98,34,33
98,36,21
98,57,33
98,70,45
98,77,46
98,152,44
99,47,46
99,48,39
99,66,49
100,11,31
100,26,10
100,81,7
101,31,5
101,33,47
101,40,29
101,44,44
101,57,43
101,77,8
101,87,12
101,90,34
101,98,7
101,104,21
101,139,31
101,186,44
102,7,10
102,21,50
102,45,18
102,58,37
102,89,21
102,127,5
102,168,28
103,15,11
103,39,1
103,64,6
103,96,50
103,194,4
104,13,31
104,33,1
104,42,28
104,44,22
104,69,49
104,74,44
104,87,1
104,98,29
104,139,31
104,177,50
104,179,26
104,186,36
105,4,5
105,18,3
105,24,5
105,46,34
105,64,33
105,65,49
105,95,39
105,181,47
106,10,49
106,59,19
106,83,28
106,84,49
106,96,38
106,116,29
106,135,8
107,16,43
107,46,1
107,164,17
107,187,39
108,21,8
108,32,22
108,38,11
108,43,1
108,58,18
108,102,48
108,173,12
109,20,32
109,42,3
109,49,1
109,69,3
109,74,12
109,104,2
109,154,41
110,1,1
110,51,8
110,52,20
110,65,22
110,68,28
110,71,1
110,88,8
110,94,36
110,129,36
111,21,48
111,32,11
111,38,29
111,58,8
111,61,33
111,108,47
111,165,17
112,58,34
112,61,49
112,111,31
113,8,23
113,9,35
113,23,15
113,25,19
113,41,10
113,75,42
113,85,29
113,86,38
113,123,1
113,175,48
114,5,35
114,25,12
114,41,44
114,86,11
114,92,34
114,113,39
114,123,27
114,159,25
115,17,13
115,28,25
116,15,28
116,84,31
116,96,30
116,103,26
116,183,26
117,12,14
117,34,40
117,37,1
117,62,27
117,78,15
117,96,29
117,136,34
117,140,16
117,172,14
117,179,18
118,30,13
118,51,37
118,52,36
118,94,34
118,97,29
118,110,21
118,146,9
119,0,45
119,26,29
119,81,47
119,100,32
119,170,20
120,61,19
120,66,49
120,111,32
120,112,19
121,1,12
121,4,25
121,39,32
121,55,30
121,56,50
121,64,49
121,65,10
121,68,37
121,88,20
121,103,12
121,125,5
121,130,10
121,181,50
122,31,11
122,40,28
122,87,34
122,101,24
122,154,24
122,166,22
122,199,39
123,5,12
123,8,19
123,9,6
123,23,37
123,25,32
123,54,40
123,75,35
123,76,17
123,86,12
123,91,27
123,92,41
124,28,33
124,115,2
125,1,43
125,4,31
125,19,7
125,39,33
125,55,18
125,56,15
125,68,3
125,88,41
125,181,22
125,196,6
126,79,14
127,6,38
127,19,32
127,45,35
127,60,29
127,80,27
127,82,23
127,89,24
127,108,24
127,173,4
128,6,20
128,7,48
128,43,50
128,45,46
128,58,48
128,60,8
128,80,10
128,82,8
128,89,45
128,102,25
128,108,15
128,127,22
129,46,7
129,51,46
129,65,9
129,97,40
129,118,10
130,6,23
130,19,31
130,50,21
130,56,25
130,69,26
130,74,33
130,80,12
130,88,8
130,89,7
130,125,21
131,23,22
131,25,26
131,54,43
131,85,37
131,113,35
131,123,16
132,19,20
132,39,35
132,50,12
132,55,13
132,56,25
132,68,48
132,80,42
132,88,37
132,121,39
132,125,50
132,130,6
132,163,42
133,30,5
133,51,47
133,71,22
133,94,47
133,97,3
133,118,6
133,129,28
134,14,18
134,31,45
134,33,15
134,40,11
134,77,4
134,87,12
134,101,18
134,104,20
134,122,49
134,154,21
134,166,19
135,10,3
135,78,20
135,83,50
135,84,19
135,116,34
136,12,50
136,22,18
136,37,27
136,44,45
136,49,29
136,69,14
136,90,40
136,104,31
137,0,6
137,51,33
137,110,29
137,118,37
137,129,2
137,133,10
138,67,34
138,78,21
138,96,42
138,106,19
138,135,18
138,147,13
138,171,27
139,31,44
139,33,3
139,36,9
139,37,5
139,44,37
139,57,45
139,62,13
139,70,49
139,90,41
139,98,46
139,155,27
139,179,48
139,199,19
140,10,32
140,12,16
140,62,34
140,67,37
140,78,25
140,135,42
140,138,49
140,171,6
141,59,20
141,106,42
142,0,7
142,30,29
142,51,35
142,52,7
142,71,47
142,94,9
142,97,42
142,110,4
142,118,9
142,129,44
142,133,30
142,137,43
143,5,17
143,8,43
143,9,30
143,14,48
143,23,9
143,25,40
143,36,25
143,41,44
143,75,6
143,76,5
143,86,24
143,91,50
143,113,41
143,114,20
143,123,22
144,16,9
144,24,35
144,107,47
144,169,49
144,198,49
145,22,2
145,34,35
145,37,39
145,49,31
145,67,12
145,70,35
145,96,42
145,117,23
145,136,22
145,140,39
146,0,10
146,51,49
146,71,39
146,81,9
146,94,47
146,97,17
146,110,29
146,137,13
146,142,22
146,174,3
147,10,29
147,78,3
147,96,4
147,106,39
147,116,30
147,135,36
147,148,5
148,67,21
148,78,31
148,96,2
148,106,33
148,116,21
148,135,6
148,138,11
148,140,22
149,28,33
149,78,22
149,83,39
149,115,24
149,124,34
149,138,7
150,15,15
150,64,4
150,103,14
150,105,45
150,116,22
151,17,19
151,29,23
151,115,47
151,124,15
152,9,40
152,31,25
152,57,6
152,77,18
152,86,20
152,91,35
152,101,16
152,139,44
152,155,30
153,3,2
153,8,36
153,9,22
153,14,47
153,23,15
153,25,8
153,41,45
153,75,33
153,76,23
153,86,1
153,91,22
153,113,35
153,114,13
153,123,15
153,131,11
153,143,27
153,193,3
154,20,9
154,27,7
154,31,24
154,40,14
154,44,15
154,77,38
154,90,5
154,101,3
154,104,24
155,9,9
155,14,13
155,33,25
155,36,10
155,41,31
155,57,25
155,86,48
155,91,17
155,92,42
155,98,9
155,101,3
155,143,3
155,177,6
156,5,36
156,9,2
156,23,29
156,25,24
156,36,36
156,41,15
156,54,10
156,76,17
156,86,34
156,91,41
156,92,28
156,113,13
156,114,15
156,123,2
156,143,40
156,153,21
157,39,29
157,55,28
157,96,38
157,103,33
157,116,46
157,148,16
157,150,18
157,183,40
158,29,47
158,57,31
158,73,27
159,5,29
159,36,3
159,41,17
159,91,11
159,152,5
159,155,20
159,156,7
159,158,43
160,0,12
160,52,46
160,60,29
160,81,29
160,82,49
160,93,1
160,100,8
160,119,39
160,127,25
160,146,45
161,27,34
161,40,47
161,87,6
161,122,26
161,134,17
161,154,33
161,192,14
162,6,25
162,7,22
162,21,1
162,43,18
162,69,19
162,74,49
162,80,6
162,89,14
162,102,37
162,109,4
162,128,7
163,19,31
163,50,18
163,51,5
163,52,34
163,65,18
163,68,50
163,110,11
163,121,38
163,125,3
164,2,32
165,7,34
165,27,1
165,32,21
165,38,44
165,58,29
165,191,2
166,7,18
166,20,48
166,21,13
166,27,10
166,31,34
166,87,6
166,154,37
166,161,35
166,165,36
166,186,50
166,199,21
167,10,2
167,12,23
167,37,49
167,70,49
167,96,2
167,117,24
167,138,31
167,140,28
167,145,43
167,148,45
167,171,38
168,6,17
168,43,45
168,45,41
168,80,24
168,82,12
168,93,43
168,127,17
168,128,43
168,160,48
168,180,37
169,16,7
169,107,40
169,164,12
169,187,45
170,0,46
170,71,12
170,81,22
170,94,13
170,97,48
170,137,46
170,142,23
170,146,46
170,160,15
170,174,31
171,12,47
171,17,30
171,34,10
171,62,40
171,70,45
171,117,14
171,145,40
171,172,15
172,12,25
172,34,1
172,37,14
172,70,2
172,78,36
172,138,41
172,140,46
172,145,20
172,167,26
173,43,41
173,58,36
173,66,19
173,102,26
173,128,13
174,0,13
174,71,28
174,94,19
174,137,18
174,142,35
175,3,36
175,23,44
175,41,23
175,76,4
175,85,38
175,86,1
175,91,37
175,92,33
175,123,10
175,131,6
175,143,45
175,153,39
176,4,18
176,15,18
176,18,35
176,24,45
176,46,9
176,64,11
176,65,1
176,95,39
176,105,46
176,121,45
176,198,13
177,14,47
177,31,36
177,36,23
177,44,36
177,57,42
177,77,9
177,90,47
177,98,30
177,101,2
177,139,9
177,152,37
177,184,3
178,1,13
178,56,14
178,60,50
178,65,35
178,68,17
178,88,48
178,93,38
178,110,31
178,125,1
178,163,43
179,13,9
179,22,31
179,34,48
179,37,22
179,42,17
179,49,18
179,62,20
179,70,6
179,74,1
179,136,27
179,145,29
179,172,6
180,100,46
180,102,47
180,108,20
180,119,24
180,127,14
180,173,39
181,1,42
181,4,18
181,15,24
181,18,36
181,39,25
181,55,29
181,64,4
181,88,31
181,95,8
181,103,30
181,132,27
181,176,10
182,6,42
182,13,47
182,20,31
182,43,30
182,69,48
182,74,9
182,80,47
182,87,5
182,109,34
182,128,15
182,130,3
182,162,7
183,10,38
183,84,28
183,106,1
183,135,40
183,138,20
183,147,2
183,148,37
184,31,42
184,33,5
184,34,20
184,36,31
184,44,47
184,57,20
184,77,39
184,90,36
184,98,28
184,101,20
184,139,10
184,152,41
184,155,9
184,159,3
184,199,46
185,59,27
185,79,43
185,83,10
185,84,48
185,106,35
185,141,48
186,14,6
186,20,1
186,27,18
186,31,8
186,40,44
186,44,16
