source,target,capacity
0,
1,
2,
3,14,1
4,58,1
5,
6,
7,
8,0,2
8,33,1
9,47,1
9,83,1
10,34,2
11,
12,92,1
13,
14,
15,20,2
16,
17,10,1
17,42,1
17,88,1
18,
19,2,2
20,
21,
22,4,2
22,85,2
23,7,2
23,96,1
24,5,2
25,39,1
26,10,2
26,17,2
27,45,1
28,16,1
29,
30,10,1
30,77,1
31,41,2
31,70,1
31,79,2
32,47,1
32,65,1
32,93,2
33,
34,17,2
34,30,2
34,42,2
35,21,1
35,48,2
35,73,1
36,
37,6,1
37,81,1
38,
39,71,2
40,13,1
41,15,1
41,18,1
41,20,2
42,10,1
42,26,2
43,33,2
44,
45,63,2
45,69,2
46,
47,52,1
48,
49,
50,46,1
51,
52,9,1
52,32,1
53,22,1
54,1,1
55,10,1
55,17,2
55,26,1
55,30,1
55,34,1
55,42,1
56,49,2
56,62,2
57,66,2
58,16,2
58,38,1
58,64,2
58,68,1
59,7,2
59,23,1
60,22,2
60,53,1
60,85,1
61,6,2
62,31,2
63,27,1
64,16,1
64,28,2
64,68,2
65,38,2
66,2,1
66,19,2
67,
68,4,1
68,16,1
68,28,1
69,27,1
70,41,1
70,62,1
71,
72,29,1
73,21,2
73,76,2
74,27,1
74,45,2
74,63,1
75,
76,21,2
77,99,2
78,60,1
79,56,1
79,62,1
80,1,2
80,22,1
80,78,1
81,2,1
81,19,2
81,66,2
82,54,2
82,71,1
83,67,2
84,71,1
85,4,1
85,53,1
86,
87,15,2
87,18,2
87,20,1
87,41,1
88,10,1
88,26,1
88,34,1
88,42,1
88,55,1
89,10,1
89,17,2
89,34,2
89,88,1
90,43,1
91,1,1
91,54,1
91,61,2
92,14,2
93,9,1
93,47,2
93,52,2
94,3,2
95,45,2
95,48,1
95,69,1
96,7,1
96,59,2
97,71,2
97,82,2
97,84,1
98,2,2
98,19,2
98,57,2
98,66,1
99,49,1
99,56,1
99,79,1
