source,target,capacity
0,
1,90,20
2,70,21
3,190,19
4,103,21
5,128,8
6,
7,76,7
8,126,7
8,170,47
9,94,33
9,192,50
10,37,10
10,175,39
11,13,47
11,53,8
11,195,37
12,81,28
12,180,12
12,185,46
13,12,30
13,47,7
13,154,9
14,43,23
15,
16,22,42
16,137,48
17,44,28
17,144,24
18,
19,106,48
20,56,11
20,173,33
20,186,26
21,2,18
22,12,16
22,137,42
22,154,40
22,185,46
23,
24,
25,12,28
25,13,7
25,22,17
25,23,35
25,142,50
26,16,24
26,108,26
27,24,35
27,82,41
28,75,11
29,77,31
29,111,45
29,152,39
29,178,19
30,
31,7,9
31,37,29
31,122,41
32,28,32
33,
34,1,19
34,134,3
35,
36,
37,7,42
37,122,16
38,5,8
38,10,15
38,55,48
38,146,5
39,
40,30,9
40,32,1
40,68,39
41,12,23
41,22,12
42,
43,
44,62,49
44,86,10
45,35,10
46,2,21
47,11,10
48,35,33
48,42,46
48,45,33
49,105,17
49,116,13
49,141,23
49,198,37
50,15,14
50,20,2
50,56,8
51,15,29
51,136,9
51,196,11
52,23,21
52,25,5
52,29,28
53,13,14
53,47,50
54,105,48
54,160,40
55,5,38
55,10,17
55,37,22
55,128,36
56,40,32
56,58,18
57,1,9
57,34,4
57,48,37
57,174,50
58,15,17
58,40,15
58,50,40
59,33,19
60,54,40
61,34,30
61,42,37
61,48,19
61,136,2
62,17,22
63,
64,18,6
65,15,45
65,51,11
65,58,23
66,31,49
67,11,7
67,13,23
67,47,20
67,53,30
67,156,3
67,195,9
68,30,8
68,56,49
68,58,13
68,114,20
69,4,50
69,103,30
70,21,38
70,44,14
71,63,24
71,74,15
72,54,12
72,60,11
72,193,48
73,1,38
73,48,19
73,57,39
74,1,43
74,63,7
74,112,32
74,158,10
75,32,18
75,36,12
75,138,40
76,37,27
76,39,34
76,122,2
76,197,41
77,49,26
77,141,4
78,33,46
79,20,41
79,132,32
80,14,35
80,43,21
81,22,50
81,25,31
81,41,45
81,154,11
81,185,39
82,24,2
83,
84,9,22
84,97,31
84,194,39
85,24,32
85,27,10
85,82,42
86,17,4
86,70,21
87,4,2
87,49,20
87,77,20
87,135,13
88,54,43
88,60,47
88,72,15
88,189,48
89,6,2
89,53,22
90,48,48
90,57,9
90,73,49
90,92,37
91,59,9
91,193,31
92,35,3
92,45,32
93,
94,110,12
94,181,27
95,2,39
95,46,19
95,70,3
96,19,32
96,50,17
97,9,2
97,194,32
98,54,22
98,88,14
98,100,30
99,117,2
100,54,47
100,72,24
100,88,18
100,192,38
101,33,15
102,66,31
103,19,45
103,96,23
104,0,12
104,150,3
105,77,21
105,87,22
105,98,14
105,100,29
105,135,18
105,157,49
105,160,14
106,69,25
106,96,9
106,103,24
107,11,18
108,16,27
109,2,21
109,21,2
109,182,7
109,184,17
110,9,27
110,49,21
110,98,27
110,105,17
111,49,49
111,77,30
111,141,22
111,198,42
112,63,46
112,71,15
113,6,26
113,89,8
113,148,23
113,164,43
113,181,1
114,30,16
114,40,18
115,158,6
116,77,48
116,87,19
116,105,21
116,111,6
117,
118,21,45
118,182,43
119,12,10
119,41,47
119,81,34
120,124,12
120,197,47
121,66,9
121,109,9
121,184,7
122,7,4
122,10,10
122,55,2
123,97,38
124,10,36
124,37,46
124,76,45
124,122,30
125,20,21
125,79,6
125,173,10
126,170,26
127,4,49
127,69,48
127,87,27
127,103,13
128,
129,49,3
129,77,23
129,111,49
129,141,50
130,79,20
131,2,28
131,46,43
131,95,15
131,184,50
132,29,13
132,125,35
132,130,38
132,171,18
132,173,17
133,60,16
133,72,1
133,88,3
134,1,4
134,57,4
134,73,9
135,4,6
135,69,5
135,127,40
136,34,26
136,42,5
137,41,7
137,99,50
137,108,22
137,117,10
137,185,14
138,28,16
138,32,47
138,51,29
138,65,11
138,196,37
139,0,45
140,4,34
140,20,48
140,79,21
140,103,41
140,125,48
140,127,47
140,173,46
141,110,34
141,113,50
141,152,39
142,12,17
142,16,28
142,22,5
142,41,35
142,81,41
142,137,42
143,26,24
143,108,44
143,130,35
144,44,28
144,62,18
145,63,40
145,71,18
145,74,46
145,112,19
146,5,31
146,55,40
146,175,3
146,177,19
146,183,37
147,36,8
147,85,3
148,29,24
148,49,5
148,77,29
148,111,7
148,129,40
148,141,14
148,152,41
149,29,47
149,79,20
149,125,21
149,130,21
149,132,44
150,0,27
150,36,44
150,153,44
151,15,36
151,50,2
151,56,9
151,58,5
151,65,47
152,49,41
152,77,12
152,111,17
152,116,37
152,129,34
152,132,20
152,149,44
152,178,29
153,42,49
153,104,23
154,11,17
154,12,37
154,25,27
154,41,20
154,119,4
155,54,8
155,60,44
155,72,29
155,98,40
155,100,37
155,135,2
156,11,3
156,107,17
157,54,24
157,87,47
157,98,23
157,100,20
157,110,27
157,135,19
157,155,33
158,63,42
158,71,43
158,112,2
158,145,23
159,16,1
159,26,13
159,108,26
159,143,40
160,87,12
160,98,4
160,100,7
160,135,2
160,155,13
160,157,48
161,71,15
161,74,44
161,112,50
161,115,25
161,145,18
161,158,14
162,97,42
162,123,40
163,15,15
163,51,17
164,6,35
164,13,24
164,53,5
164,89,24
165,14,11
165,43,43
165,80,38
166,47,21
166,53,49
166,67,14
166,89,32
167,18,1
167,64,19
168,33,27
168,59,32
168,91,26
169,83,31
169,126,3
170,83,11
170,169,9
171,26,1
171,130,1
171,143,26
171,149,8
172,39,13
172,76,10
172,120,37
172,122,25
172,124,10
173,79,41
173,186,3
174,1,10
174,34,20
174,74,16
174,134,38
175,5,19
175,38,18
175,55,11
175,128,41
176,
177,38,17
177,175,26
178,49,46
178,77,41
178,111,46
178,116,35
178,129,15
178,141,13
178,148,35
179,
180,22,42
180,41,43
180,81,9
180,99,40
180,117,13
180,119,1
180,137,23
180,142,27
180,185,4
181,9,23
181,84,20
182,21,2
182,121,28
183,38,35
183,175,12
183,177,50
184,2,8
184,46,22
184,66,16
184,95,47
184,102,26
185,16,13
185,41,14
185,99,35
185,117,13
185,119,1
185,142,36
186,79,37
186,103,47
186,125,17
186,140,25
187,30,18
187,68,43
187,114,5
187,130,16
188,78,16
188,93,15
188,179,18
189,54,44
189,60,29
189,72,16
189,100,50
189,133,8
189,155,8
189,160,28
190,62,45
190,144,18
191,88,4
191,91,47
191,193,2
192,54,1
192,88,26
192,98,3
192,157,27
192,160,42
193,54,30
193,60,26
193,88,4
193,100,24
193,133,9
193,189,47
193,192,22
194,
195,107,41
195,156,35
196,15,30
196,65,50
196,136,15
196,163,22
197,10,32
197,37,45
197,122,24
197,124,4
197,172,11
198,29,4
